,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_PERF,OPP_PERF,TEAM_WIN_PCT,OPP_WIN-PCT,WIN
1546,103.0,0.413,0.952,0.304,26.0,43.0,113.0,0.476,0.889,0.3929999999999999,23.0,41.0,0,118.7,105.8,0.938,0.5479999999999999,1
1547,105.0,0.442,0.593,0.433,20.0,45.0,102.0,0.466,0.6,0.267,27.0,43.0,1,121.2,100.1,0.938,0.581,0
1548,98.0,0.4379999999999999,0.4379999999999999,0.25,25.0,41.0,118.0,0.472,0.789,0.452,27.0,52.0,0,120.2,103.5,0.938,0.594,1
1549,108.0,0.4479999999999999,0.833,0.2,26.0,41.0,125.0,0.528,0.762,0.395,30.0,41.0,0,119.8,113.0,0.938,0.471,1
1550,121.0,0.541,0.7040000000000001,0.476,35.0,46.0,100.0,0.422,0.8420000000000001,0.286,23.0,36.0,1,118.5,107.5,0.938,0.6970000000000001,1
1551,126.0,0.505,0.792,0.441,37.0,58.0,91.0,0.352,0.741,0.265,11.0,35.0,1,117.8,105.3,0.938,0.7,1
1552,127.0,0.562,0.667,0.517,39.0,37.0,107.0,0.489,0.75,0.214,20.0,40.0,1,116.8,105.4,0.938,0.545,1
1553,107.0,0.4529999999999999,0.818,0.407,28.0,48.0,95.0,0.422,0.765,0.2,25.0,46.0,1,116.5,97.3,0.938,0.581,1
1554,106.0,0.486,0.7929999999999999,0.3929999999999999,21.0,31.0,117.0,0.506,0.85,0.345,33.0,46.0,0,118.3,101.7,0.938,0.375,1
1555,119.0,0.494,0.7440000000000001,0.267,23.0,44.0,128.0,0.485,0.789,0.3939999999999999,29.0,47.0,0,116.7,103.4,0.938,0.529,0
1556,125.0,0.506,0.828,0.361,31.0,39.0,117.0,0.449,0.893,0.462,23.0,44.0,1,115.5,101.2,0.938,0.4,1
1557,127.0,0.526,0.762,0.44,33.0,43.0,119.0,0.475,0.778,0.257,33.0,48.0,1,114.4,113.2,0.938,0.364,1
1558,108.0,0.5,0.867,0.3329999999999999,31.0,43.0,99.0,0.419,0.867,0.25,22.0,40.0,1,112.5,100.1,0.938,0.594,1
1559,121.0,0.568,0.833,0.609,33.0,51.0,111.0,0.3879999999999999,0.818,0.371,24.0,45.0,1,111.0,112.7,0.938,0.606,1
1560,109.0,0.389,0.7190000000000001,0.3429999999999999,20.0,44.0,108.0,0.481,0.862,0.3,25.0,42.0,1,111.7,112.5,0.938,0.7,0
1561,113.0,0.506,0.607,0.345,22.0,36.0,119.0,0.5579999999999999,0.917,0.407,35.0,41.0,0,114.0,92.8,0.938,0.545,1
1562,101.0,0.442,0.75,0.371,22.0,46.0,117.0,0.452,0.7859999999999999,0.324,29.0,51.0,0,116.1,107.3,0.938,0.281,1
1563,104.0,0.444,0.882,0.391,24.0,50.0,74.0,0.355,0.55,0.3,13.0,44.0,1,118.4,105.1,0.938,0.452,1
1564,135.0,0.586,0.731,0.5,36.0,56.0,90.0,0.395,0.7,0.286,16.0,31.0,1,115.4,111.4,0.938,0.4,1
1565,103.0,0.469,0.5,0.281,41.0,57.0,90.0,0.409,0.474,0.238,19.0,49.0,1,116.6,107.5,0.938,0.455,1
1566,109.0,0.476,0.81,0.4,26.0,45.0,113.0,0.442,0.789,0.412,30.0,45.0,0,116.2,101.6,0.938,0.313,1
1567,108.0,0.444,0.75,0.375,17.0,51.0,116.0,0.4579999999999999,0.9,0.406,30.0,37.0,0,119.5,103.3,0.938,0.364,1
1568,110.0,0.4370000000000001,0.897,0.308,23.0,47.0,89.0,0.442,0.6,0.3329999999999999,15.0,42.0,1,122.6,97.7,0.938,0.529,0
1569,99.0,0.416,0.7140000000000001,0.263,20.0,46.0,106.0,0.488,0.696,0.414,26.0,47.0,0,124.4,106.2,0.938,0.452,1
1570,98.0,0.391,0.75,0.308,15.0,47.0,115.0,0.472,0.828,0.226,32.0,46.0,0,123.3,108.8,0.938,0.618,1
1571,142.0,0.519,0.769,0.3779999999999999,45.0,54.0,106.0,0.412,0.943,0.2,20.0,40.0,1,121.8,99.9,0.938,0.563,1
1572,138.0,0.628,0.765,0.667,37.0,38.0,109.0,0.451,0.762,0.344,24.0,36.0,1,121.3,105.0,0.938,0.3429999999999999,1
1573,127.0,0.413,0.784,0.273,31.0,54.0,132.0,0.444,0.733,0.318,26.0,56.0,0,121.1,110.4,0.938,0.471,0
1574,105.0,0.435,0.792,0.3429999999999999,25.0,41.0,100.0,0.424,0.7,0.241,20.0,50.0,1,122.2,97.4,0.938,0.618,1
1575,115.0,0.556,0.8240000000000001,0.5,25.0,45.0,102.0,0.461,0.833,0.286,22.0,32.0,1,122.3,103.9,0.938,0.364,1
1576,85.0,0.356,0.696,0.2269999999999999,20.0,45.0,109.0,0.518,0.706,0.3929999999999999,31.0,44.0,0,121.1,110.1,0.938,0.182,1
1577,149.0,0.616,0.6859999999999999,0.528,47.0,48.0,106.0,0.43,0.818,0.4,22.0,37.0,1,118.4,111.2,0.938,0.182,1
1578,83.0,0.32,0.917,0.261,13.0,49.0,120.0,0.444,0.8440000000000001,0.361,31.0,60.0,0,119.1,104.6,0.938,0.563,1
1579,121.0,0.517,0.76,0.5,27.0,41.0,124.0,0.442,0.813,0.368,30.0,45.0,0,117.3,101.2,0.938,0.382,1
1580,88.0,0.373,0.789,0.344,19.0,43.0,104.0,0.489,0.583,0.321,33.0,50.0,0,119.1,104.7,0.938,0.563,1
1581,121.0,0.451,0.902,0.4,16.0,46.0,127.0,0.506,0.929,0.361,33.0,35.0,0,116.4,106.5,0.938,0.606,1
1582,133.0,0.517,0.871,0.485,32.0,43.0,120.0,0.511,0.769,0.3329999999999999,27.0,38.0,1,113.8,107.2,0.938,0.3429999999999999,1
1583,101.0,0.4039999999999999,0.706,0.361,26.0,44.0,125.0,0.541,0.95,0.467,33.0,44.0,0,113.6,103.4,0.938,0.364,1
1584,116.0,0.581,0.591,0.515,33.0,39.0,95.0,0.395,0.75,0.214,20.0,42.0,1,113.2,95.5,0.938,0.594,1
1585,116.0,0.5,0.833,0.457,35.0,38.0,106.0,0.488,0.778,0.3329999999999999,26.0,43.0,1,114.5,102.3,0.938,0.313,1
1586,117.0,0.474,0.905,0.267,26.0,51.0,97.0,0.4529999999999999,0.7,0.156,26.0,40.0,1,115.3,105.9,0.938,0.182,0
1587,122.0,0.517,0.8,0.467,27.0,46.0,96.0,0.402,0.5710000000000001,0.37,20.0,41.0,1,115.1,101.5,0.938,0.6970000000000001,1
1588,104.0,0.43,0.762,0.359,23.0,32.0,127.0,0.562,0.7390000000000001,0.385,36.0,45.0,0,111.7,106.8,0.938,0.4,1
1589,100.0,0.411,0.72,0.348,19.0,50.0,106.0,0.422,0.848,0.276,27.0,43.0,0,110.0,104.0,0.938,0.3429999999999999,1
1590,114.0,0.47,0.652,0.2269999999999999,29.0,49.0,122.0,0.484,0.893,0.321,32.0,49.0,0,107.9,106.0,0.938,0.313,1
1591,100.0,0.471,0.722,0.212,24.0,35.0,129.0,0.48,0.885,0.5,25.0,55.0,0,107.6,97.0,0.938,0.8240000000000001,0
1592,107.0,0.433,0.923,0.395,27.0,51.0,96.0,0.416,0.7,0.308,23.0,45.0,1,107.7,108.8,0.938,0.4,1
1593,112.0,0.457,0.56,0.412,28.0,45.0,123.0,0.478,0.96,0.3329999999999999,34.0,44.0,0,104.4,103.3,0.938,0.182,1
1594,107.0,0.429,0.7879999999999999,0.3329999999999999,21.0,38.0,112.0,0.5429999999999999,0.636,0.435,29.0,43.0,0,104.2,100.7,0.938,0.182,1
1595,128.0,0.4629999999999999,0.696,0.414,28.0,60.0,129.0,0.4589999999999999,0.667,0.405,27.0,52.0,0,101.7,100.0,0.938,0.364,1
1596,105.0,0.4429999999999999,0.8,0.429,22.0,45.0,96.0,0.422,0.7,0.462,24.0,43.0,1,100.8,102.2,0.938,0.375,1
1597,120.0,0.514,0.795,0.517,29.0,47.0,75.0,0.325,0.731,0.222,17.0,35.0,1,99.6,100.5,0.938,0.618,1
1598,97.0,0.43,0.586,0.261,14.0,58.0,93.0,0.3929999999999999,0.625,0.3329999999999999,19.0,42.0,1,102.3,93.5,0.938,0.606,0
1599,89.0,0.386,0.769,0.366,22.0,39.0,93.0,0.402,0.84,0.24,17.0,48.0,0,102.8,102.2,0.833,0.563,0
