,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_PERF,OPP_PERF,TEAM_WIN_PCT,OPP_WIN-PCT,WIN,TEAM_PTS,TEAM_AST,TEAM_REB,TEAM_FG,TEAM_FT,OPP_WINS
0,6,2022-12-21,22200470,Final,1610612751,1610612744,2022,1610612751,143.0,0.643,0.875,0.636,42.0,32.0,1610612744,113.0,0.494,0.76,0.364,32.0,36.0,1,114.5,116.1,0.794,0.697,0,113.0,32.0,36.0,0.494,113.0,1
1,15,2022-12-20,22200463,Final,1610612752,1610612744,2022,1610612752,132.0,0.517,0.781,0.425,27.0,47.0,1610612744,94.0,0.473,0.923,0.343,23.0,29.0,1,116.4,113.2,0.794,0.472,0,94.0,23.0,29.0,0.473,94.0,1
2,30,2022-12-18,22200448,Final,1610612761,1610612744,2022,1610612761,110.0,0.421,0.773,0.394,21.0,43.0,1610612744,126.0,0.531,0.846,0.462,31.0,41.0,0,117.5,111.7,0.794,0.469,1,126.0,31.0,41.0,0.531,126.0,0
3,45,2022-12-16,22200432,Final,1610612755,1610612744,2022,1610612755,118.0,0.459,0.806,0.395,23.0,49.0,1610612744,106.0,0.415,0.846,0.395,31.0,48.0,1,119.8,114.9,0.794,0.543,0,106.0,31.0,48.0,0.415,106.0,1
4,56,2022-12-14,22200415,Final,1610612754,1610612744,2022,1610612754,125.0,0.506,0.84,0.41,30.0,34.0,1610612744,119.0,0.465,0.862,0.424,27.0,46.0,1,120.3,111.2,0.794,0.389,0,119.0,27.0,46.0,0.465,119.0,1
5,66,2022-12-13,22200410,Final,1610612749,1610612744,2022,1610612749,128.0,0.549,0.813,0.414,22.0,55.0,1610612744,111.0,0.4,0.789,0.4,25.0,37.0,1,117.5,113.0,0.794,0.649,0,111.0,25.0,37.0,0.4,111.0,1
6,89,2022-12-10,22200392,Final,1610612744,1610612738,2022,1610612744,123.0,0.511,0.8,0.333,26.0,53.0,1610612738,107.0,0.437,0.731,0.3,17.0,39.0,1,117.9,121.8,0.794,0.472,1,123.0,26.0,53.0,0.511,123.0,0
7,114,2022-12-07,22200372,Final,1610612762,1610612744,2022,1610612762,124.0,0.535,0.81,0.429,26.0,40.0,1610612744,123.0,0.459,0.76,0.333,26.0,42.0,1,116.7,119.4,0.794,0.743,0,123.0,26.0,42.0,0.459,123.0,1
8,126,2022-12-05,22200359,Final,1610612744,1610612754,2022,1610612744,104.0,0.404,0.789,0.295,26.0,47.0,1610612754,112.0,0.478,0.611,0.385,26.0,47.0,0,118.2,112.5,0.794,0.389,0,104.0,26.0,47.0,0.404,104.0,1
9,140,2022-12-03,22200342,Final,1610612744,1610612745,2022,1610612744,120.0,0.529,0.5,0.481,34.0,35.0,1610612745,101.0,0.44,0.9,0.107,17.0,45.0,1,119.4,110.5,0.794,0.278,1,120.0,34.0,35.0,0.529,120.0,0
